#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
70,Kadabra,Psychic,,40,35,30,120,70,105,1,False
71,Alakazam,Psychic,,55,50,45,135,95,120,1,False
72,Mega Alakazam,Psychic,,55,50,65,175,95,150,1,False
73,Machop,Fighting,,70,80,50,35,35,35,1,False
74,Machoke,Fighting,,80,100,70,50,60,45,1,False
75,Machamp,Fighting,,90,130,80,65,85,55,1,False
76,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,False
77,Weepinbell,Grass,Poison,65,90,50,85,45,55,1,False
78,Victreebel,Grass,Poison,80,105,65,100,70,70,1,False
79,Tentacool,Water,Poison,40,40,35,50,100,70,1,False
80,Tentacruel,Water,Poison,80,70,65,80,120,100,1,False
81,Geodude,Rock,Ground,40,80,100,30,30,20,1,False
82,Graveler,Rock,Ground,55,95,115,45,45,35,1,False
83,Golem,Rock,Ground,80,120,130,55,65,45,1,False
84,Ponyta,Fire,,50,85,55,65,65,90,1,False
85,Rapidash,Fire,,65,100,70,80,80,105,1,False
86,Slowpoke,Water,Psychic,90,65,65,40,40,15,1,False
87,Slowbro,Water,Psychic,95,75,110,100,80,30,1,False
88,Mega Slowbro,Water,Psychic,95,75,180,130,80,30,1,False
89,Magnemite,Electric,Steel,25,35,70,95,55,45,1,False
90,Magneton,Electric,Steel,50,60,95,120,70,70,1,False
91,Farfetch'd,Normal,Flying,52,65,55,58,62,60,1,False
92,Doduo,Normal,Flying,35,85,45,35,35,75,1,False
93,Dodrio,Normal,Flying,60,110,70,60,60,100,1,False
94,Seel,Water,,65,45,55,45,70,45,1,False
95,Dewgong,Water,Ice,90,70,80,70,95,70,1,False
96,Grimer,Poison,,80,80,50,40,50,25,1,False
97,Muk,Poison,,105,105,75,65,100,50,1,False
98,Shellder,Water,,30,65,100,45,25,40,1,False
99,Cloyster,Water,Ice,50,95,180,85,45,70,1,False
100,Gastly,Ghost,Poison,30,35,30,100,35,80,1,False
101,Haunter,Ghost,Poison,45,50,45,115,55,95,1,False
102,Gengar,Ghost,Poison,60,65,60,130,75,110,1,False
103,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,1,False
104,Onix,Rock,Ground,35,45,160,30,45,70,1,False
105,Drowzee,Psychic,,60,48,45,43,90,42,1,False
106,Hypno,Psychic,,85,73,70,73,115,67,1,False
107,Krabby,Water,,30,105,90,25,25,50,1,False
108,Kingler,Water,,55,130,115,50,50,75,1,False
109,Voltorb,Electric,,40,30,50,55,55,100,1,False
110,Electrode,Electric,,60,50,70,80,80,140,1,False
111,Exeggcute,Grass,Psychic,60,40,80,60,45,40,1,False
112,Exeggutor,Grass,Psychic,95,95,85,125,65,55,1,False
113,Cubone,Ground,,50,50,95,40,50,35,1,False
114,Marowak,Ground,,60,80,110,50,80,45,1,False
115,Hitmonlee,Fighting,,50,120,53,35,110,87,1,False
116,Hitmonchan,Fighting,,50,105,79,35,110,76,1,False
117,Lickitung,Normal,,90,55,75,60,75,30,1,False
118,Koffing,Poison,,40,65,95,60,45,35,1,False
119,Weezing,Poison,,65,90,120,85,70,60,1,False
120,Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,False
121,Rhydon,Ground,Rock,105,130,120,45,45,40,1,False
122,Chansey,Normal,,250,5,5,35,105,50,1,False
123,Tangela,Grass,,65,55,115,100,40,60,1,False
124,Kangaskhan,Normal,,105,95,80,40,80,90,1,False
125,Mega Kangaskhan,Normal,,105,125,100,60,100,100,1,False
126,Horsea,Water,,30,40,70,70,25,60,1,False
127,Seadra,Water,,55,65,95,95,45,85,1,False
128,Goldeen,Water,,45,67,60,35,50,63,1,False
129,Seaking,Water,,80,92,65,65,80,68,1,False
130,Staryu,Water,,30,45,55,70,55,85,1,False
131,Starmie,Water,Psychic,60,75,85,100,85,115,1,False
132,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,1,False
133,Scyther,Bug,Flying,70,110,80,55,80,105,1,False
134,Jynx,Ice,Psychic,65,50,35,115,95,95,1,False
135,Electabuzz,Electric,,65,83,57,95,85,105,1,False
136,Magmar,Fire,,65,95,57,100,85,93,1,False
137,Pinsir,Bug,,65,125,100,55,70,85,1,False
138,Mega Pinsir,Bug,Flying,65,155,120,65,90,105,1,False
139,Tauros,Normal,,75,100,95,40,70,110,1,False
140,Magikarp,Water,,20,10,55,15,20,80,1,False
141,Gyarados,Water,Flying,95,125,79,60,100,81,1,False
142,Mega Gyarados,Water,Dark,95,155,109,70,130,81,1,False
143,Lapras,Water,Ice,130,85,80,85,95,60,1,False
144,Ditto,Normal,,48,48,48,48,48,48,1,False
145,Eevee,Normal,,55,55,50,45,65,55,1,False
146,Vaporeon,Water,,130,65,60,110,95,65,1,False
147,Jolteon,Electric,,65,65,60,110,95,130,1,False
148,Flareon,Fire,,65,130,60,95,110,65,1,False
149,Porygon,Normal,,65,60,70,85,75,40,1,False
150,Omanyte,Rock,Water,35,40,100,90,55,35,1,False
151,Omastar,Rock,Water,70,60,125,115,70,55,1,False
152,Kabuto,Rock,Water,30,80,90,55,45,55,1,False
153,Kabutops,Rock,Water,60,115,105,65,70,80,1,False
154,Aerodactyl,Rock,Flying,80,105,65,60,75,130,1,False
155,Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,1,False
156,Snorlax,Normal,,160,110,65,65,110,30,1,False
157,Articuno,Ice,Flying,90,85,100,95,125,85,1,True
158,Zapdos,Electric,Flying,90,90,85,125,90,100,1,True
159,Moltres,Fire,Flying,90,100,90,125,85,90,1,True
160,Dratini,Dragon,,41,64,45,50,50,50,1,False
161,Dragonair,Dragon,,61,84,65,70,70,70,1,False
162,Dragonite,Dragon,Flying,91,134,95,100,100,80,1,False
163,Mewtwo,Psychic,,106,110,90,154,90,130,1,True
